,pdb_id,lig_id,Total_Score,Crash,Polar
45,10_3p5o_4lzs,1_0005,4.5045,-0.5995,2.2709
46,10_3p5o_4lzs,1_0006,4.4499,-0.5693,2.381
47,10_3p5o_4lzs,1_0007,4.397,-1.6875,1.2906
48,10_3p5o_4lzs,1_0008,4.3106,-2.5622,2.9005
49,10_3p5o_4lzs,1_0009,4.3087,-0.7527,2.294
50,10_3p5o_4lzs,1_0010,4.2771,-0.7934,1.4525
51,10_3p5o_4lzs,1_0011,4.0874,-1.3601,2.5559
52,10_3p5o_4lzs,1_0012,4.0675,-0.7867,2.3843
53,10_3p5o_4lzs,1_0013,4.0534,-0.662,1.5505
54,10_3p5o_4lzs,1_0014,3.9696,-0.4097,1.1275
55,10_3p5o_4lzs,1_0015,3.9171,-1.0199,1.2282
56,10_3p5o_4lzs,1_0016,3.8979,-0.471,1.5669
57,10_3p5o_4lzs,1_0017,3.8936,-1.9201,1.35
58,10_3p5o_4lzs,1_0018,3.89,-2.1423,0.5771
59,10_3p5o_4lzs,1_0019,3.8253,-1.6426,0.0
60,10_3p5o_4ogj,1_0000,8.5319,-3.6621,0.8571
61,10_3p5o_4ogj,1_0001,7.8678,-3.9443,0.6005
62,10_3p5o_4ogj,1_0002,7.7022,-4.0593,0.9887
63,10_3p5o_4ogj,1_0003,7.1143,-3.7768,1.0749
64,10_3p5o_4ogj,1_0004,6.9253,-2.1249,3.8954
65,10_3p5o_4ogj,1_0005,6.8657,-1.579,2.7504
66,10_3p5o_4ogj,1_0006,6.7146,-1.5939,3.691
67,10_3p5o_4ogj,1_0007,6.7129,-3.7258,1.0681
68,10_3p5o_4ogj,1_0008,6.672,-4.4775,0.8948
69,10_3p5o_4ogj,1_0009,6.6508,-2.2665,3.9623
70,10_3p5o_4ogj,1_0010,6.5992,-3.9658,0.941
71,10_3p5o_4ogj,1_0011,6.5001,-4.1874,0.9801
72,10_3p5o_4ogj,1_0012,6.3905,-2.3654,3.8932
73,10_3p5o_4ogj,1_0013,6.3351,-2.1245,4.0269
74,10_3p5o_4ogj,1_0014,6.3171,-4.6982,0.9965
75,10_3p5o_4ogj,1_0015,6.2558,-4.0206,0.737
76,10_3p5o_4ogj,1_0016,6.2151,-4.1822,1.0098
77,10_3p5o_4ogj,1_0017,5.911,-1.5065,2.2461
78,10_3p5o_4ogj,1_0018,5.7499,-1.6968,2.4763
79,10_3p5o_4ogj,1_0019,5.7475,-3.4897,0.9132
80,10_3p5o_4wiv,1_0000,4.939,-1.7494,0.0
81,10_3p5o_4wiv,1_0001,4.7801,-1.7339,0.0047
82,10_3p5o_4wiv,1_0002,4.5924,-1.9044,0.004
83,10_3p5o_4wiv,1_0003,4.5488,-1.7235,0.001
84,10_3p5o_4wiv,1_0004,4.5101,-1.6065,0.0014
85,10_3p5o_4wiv,1_0005,4.4656,-0.8115,0.0002
86,10_3p5o_4wiv,1_0006,4.4387,-1.6483,1.1439
87,10_3p5o_4wiv,1_0007,4.3788,-3.0175,0.549
88,10_3p5o_4wiv,1_0008,4.3548,-1.5788,1.1368
89,10_3p5o_4wiv,1_0009,4.3387,-2.0325,0.0021
90,10_3p5o_4wiv,1_0010,4.2798,-2.0928,0.0017
91,10_3p5o_4wiv,1_0011,4.2667,-0.9806,1.1346
92,10_3p5o_4wiv,1_0012,4.2647,-1.8228,0.0249
93,10_3p5o_4wiv,1_0013,4.1965,-0.7231,0.0042
94,10_3p5o_4wiv,1_0014,4.1201,-3.2754,0.4369
95,10_3p5o_4wiv,1_0015,4.1044,-2.9377,0.5489
96,10_3p5o_4wiv,1_0016,4.0976,-1.3534,1.0958
97,10_3p5o_4wiv,1_0017,4.0925,-1.0642,0.0132
98,10_3p5o_4wiv,1_0018,4.0801,-1.5336,0.0089
99,10_3p5o_4wiv,1_0019,4.0708,-0.9344,0.0003
100,10_3u5j_3p5o,1_0000,6.9488,-0.7395,2.0895
101,10_3u5j_3p5o,1_0001,6.3483,-0.7575,2.1472
102,10_3u5j_3p5o,1_0002,6.2591,-1.2595,2.0373
103,10_3u5j_3p5o,1_0003,6.0735,-1.7922,1.2076
104,10_3u5j_3p5o,1_0004,5.9609,-2.1745,1.4403
105,10_3u5j_3p5o,1_0005,5.7549,-0.7544,2.172
106,10_3u5j_3p5o,1_0006,5.7474,-0.7845,2.1826
107,10_3u5j_3p5o,1_0007,5.6944,-1.4922,0.8124
108,10_3u5j_3p5o,1_0008,5.4451,-2.136,0.0992
109,10_3u5j_3p5o,1_0009,5.4338,-1.5305,0.5985
110,10_3u5j_3p5o,1_0010,5.4225,-0.6058,2.0167
111,10_3u5j_3p5o,1_0011,5.3792,-0.7453,1.0651
112,10_3u5j_3p5o,1_0012,5.3776,-0.9164,1.8429
113,10_3u5j_3p5o,1_0013,5.3667,-0.7415,1.0871
114,10_3u5j_3p5o,1_0014,5.3192,-2.079,0.0058
115,10_3u5j_3p5o,1_0015,5.2928,-0.6847,2.1687
116,10_3u5j_3p5o,1_0016,5.2801,-0.8568,0.9993
117,10_3u5j_3p5o,1_0017,5.2441,-1.039,0.9021
118,10_3u5j_3p5o,1_0018,5.2327,-2.5453,0.0017
119,10_3u5j_3p5o,1_0019,5.2074,-2.1884,0.7291
120,10_3u5j_3u5j,1_0000,4.6209,-0.6976,1.1132
121,10_3u5j_3u5j,1_0001,4.3753,-0.7356,0.0873
122,10_3u5j_3u5j,1_0002,4.3115,-0.6669,0.0841
123,10_3u5j_3u5j,1_0003,4.0254,-0.737,0.0069
124,10_3u5j_3u5j,1_0004,3.9992,-0.7849,0.7346
125,10_3u5j_3u5j,1_0005,3.9406,-0.8948,0.0128
126,10_3u5j_3u5j,1_0006,3.8795,-0.8148,0.0122
127,10_3u5j_3u5j,1_0007,3.8219,-0.6874,0.0388
128,10_3u5j_3u5j,1_0008,3.7874,-0.8644,0.7465
129,10_3u5j_3u5j,1_0009,3.7267,-0.9193,0.6875
130,10_3u5j_3u5j,1_0010,3.716,-1.0595,0.5158
131,10_3u5j_3u5j,1_0011,3.6728,-0.8045,0.1858
132,10_3u5j_3u5j,1_0012,3.5213,-0.9522,0.0003
133,10_3u5j_3u5j,1_0013,3.3915,-0.9768,0.0004
134,10_3u5j_3u5j,1_0014,3.2094,-0.6963,1.1988
135,10_3u5j_3u5j,1_0015,3.1902,-0.6114,1.0027
136,10_3u5j_3u5j,1_0016,3.1885,-1.2493,0.0129
137,10_3u5j_3u5j,1_0017,3.0396,-2.8642,0.2224
138,10_3u5j_3u5j,1_0018,2.999,-1.2957,0.0107
139,10_3u5j_3u5j,1_0019,2.9932,-0.5757,0.0132
140,10_3u5j_4lzs,1_0000,5.6607,-0.9012,3.4102
141,10_3u5j_4lzs,1_0001,5.3044,-0.9563,3.2134
142,10_3u5j_4lzs,1_0002,4.7091,-0.1766,2.656
143,10_3u5j_4lzs,1_0003,4.6944,-0.6027,2.0821
144,10_3u5j_4lzs,1_0004,4.6513,-0.5189,2.1305
145,10_3u5j_4lzs,1_0005,4.4973,-0.6395,1.16
146,10_3u5j_4lzs,1_0006,4.4643,-0.4281,1.0104
147,10_3u5j_4lzs,1_0007,4.3991,-0.501,1.0778
148,10_3u5j_4lzs,1_0008,4.3606,-0.7559,2.4007
149,10_3u5j_4lzs,1_0009,4.3479,-0.8809,2.3208
150,10_3u5j_4lzs,1_0010,4.2489,-0.7545,2.4795
151,10_3u5j_4lzs,1_0011,4.229,-2.3958,2.9079
152,10_3u5j_4lzs,1_0012,4.1877,-2.3545,2.517
153,10_3u5j_4lzs,1_0013,4.1016,-0.5994,1.5707
154,10_3u5j_4lzs,1_0014,4.0908,-0.7935,2.0799
155,10_3u5j_4lzs,1_0015,4.0565,-0.5905,1.0144
156,10_3u5j_4lzs,1_0016,4.0152,-1.601,1.7173
157,10_3u5j_4lzs,1_0017,4.0034,-1.2428,2.2596
158,10_3u5j_4lzs,1_0018,3.9969,-0.7811,2.3459
159,10_3u5j_4lzs,1_0019,3.9843,-0.7976,2.2237
160,10_3u5j_4ogj,1_0000,7.6031,-4.1568,1.3713
161,10_3u5j_4ogj,1_0001,7.3544,-4.125,1.2014
162,10_3u5j_4ogj,1_0002,7.2771,-4.0903,0.8825
163,10_3u5j_4ogj,1_0003,7.2203,-4.2086,0.8635
164,10_3u5j_4ogj,1_0004,7.0823,-3.8553,0.5592
165,10_3u5j_4ogj,1_0005,7.0252,-4.2902,1.232
166,10_3u5j_4ogj,1_0006,6.9684,-4.4202,0.9721
167,10_3u5j_4ogj,1_0007,6.3811,-3.8468,1.0021
168,10_3u5j_4ogj,1_0008,6.3804,-3.8565,0.7975
169,10_3u5j_4ogj,1_0009,6.3477,-4.6398,1.2536
170,10_3u5j_4ogj,1_0010,6.2235,-4.3784,1.174
171,10_3u5j_4ogj,1_0011,5.9264,-3.6292,1.0547
172,10_3u5j_4ogj,1_0012,5.9116,-1.9164,2.32
173,10_3u5j_4ogj,1_0013,5.8965,-1.6695,3.6705
174,10_3u5j_4ogj,1_0014,5.6825,-2.5635,1.2153
175,10_3u5j_4ogj,1_0015,5.606,-1.8946,2.8362
176,10_3u5j_4ogj,1_0016,5.5194,-4.4756,0.393
177,10_3u5j_4ogj,1_0017,5.513,-6.1248,1.3203
178,10_3u5j_4ogj,1_0018,5.4569,-1.8171,2.7984
179,10_3u5j_4ogj,1_0019,5.3296,-2.6077,2.7194
180,10_3u5j_4wiv,1_0000,5.4723,-1.4958,0.0
181,10_3u5j_4wiv,1_0001,5.2714,-0.774,0.0109
182,10_3u5j_4wiv,1_0002,4.8831,-2.1173,1.1579
183,10_3u5j_4wiv,1_0003,4.8026,-1.5485,1.3295
184,10_3u5j_4wiv,1_0004,4.7619,-4.2246,0.866
185,10_3u5j_4wiv,1_0005,4.7142,-1.215,0.0013
186,10_3u5j_4wiv,1_0006,4.7123,-2.7802,0.1283
187,10_3u5j_4wiv,1_0007,4.6808,-2.4198,0.499
188,10_3u5j_4wiv,1_0008,4.6675,-0.9734,0.0
189,10_3u5j_4wiv,1_0009,4.6374,-2.6458,0.422
190,10_3u5j_4wiv,1_0010,4.6048,-2.7567,0.17
191,10_3u5j_4wiv,1_0011,4.5573,-2.9212,0.4378
192,10_3u5j_4wiv,1_0012,4.5518,-1.5562,1.222
193,10_3u5j_4wiv,1_0013,4.5344,-1.7728,0.0025
194,10_3u5j_4wiv,1_0014,4.5169,-1.0207,0.0003
195,10_3u5j_4wiv,1_0015,4.4784,-0.8442,0.6297
196,10_3u5j_4wiv,1_0016,4.4552,-2.0237,1.1595
197,10_3u5j_4wiv,1_0017,4.4547,-2.5355,0.4449
198,10_3u5j_4wiv,1_0018,4.4124,-2.8057,0.2307
199,10_3u5j_4wiv,1_0019,4.4113,-1.4148,0.0026
200,10_4lzs_3p5o,1_0000,7.0537,-2.4865,0.6532
201,10_4lzs_3p5o,1_0001,6.9473,-1.2829,1.8005
202,10_4lzs_3p5o,1_0002,6.9068,-1.4115,1.7313
203,10_4lzs_3p5o,1_0003,6.6165,-0.7692,2.0725
204,10_4lzs_3p5o,1_0004,6.4831,-3.5038,1.8618
205,10_4lzs_3p5o,1_0005,6.2821,-0.9867,1.8843
206,10_4lzs_3p5o,1_0006,6.2553,-0.8077,1.9638
207,10_4lzs_3p5o,1_0007,6.2313,-0.8503,1.5608
208,10_4lzs_3p5o,1_0008,6.2219,-0.7683,1.0199
209,10_4lzs_3p5o,1_0009,6.1514,-2.0564,0.8387
210,10_4lzs_3p5o,1_0010,6.0331,-1.5609,1.2014
211,10_4lzs_3p5o,1_0011,5.7607,-2.4969,0.4685
212,10_4lzs_3p5o,1_0012,5.7069,-0.9593,0.7245
213,10_4lzs_3p5o,1_0013,5.6697,-2.621,0.6812
214,10_4lzs_3p5o,1_0014,5.5122,-1.3557,1.2023
215,10_4lzs_3p5o,1_0015,5.5083,-2.0652,0.83
216,10_4lzs_3p5o,1_0016,5.4976,-4.0063,1.8575
217,10_4lzs_3p5o,1_0017,5.4869,-0.9719,0.6817
218,10_4lzs_3p5o,1_0018,5.3873,-2.5162,0.0116
219,10_4lzs_3p5o,1_0019,5.2058,-4.3347,1.9055
220,10_4lzs_3u5j,1_0000,4.8076,-0.8178,0.4908
221,10_4lzs_3u5j,1_0001,4.5898,-0.7818,0.4202
222,10_4lzs_3u5j,1_0002,3.7228,-0.8477,0.0094
223,10_4lzs_3u5j,1_0003,3.7207,-0.9468,0.8142
224,10_4lzs_3u5j,1_0004,3.6902,-1.4614,0.0128
225,10_4lzs_3u5j,1_0005,3.6155,-0.9121,0.0151
226,10_4lzs_3u5j,1_0006,3.5767,-1.0184,0.816
227,10_4lzs_3u5j,1_0007,3.4328,-1.4446,0.0067
228,10_4lzs_3u5j,1_0008,3.3195,-1.2702,0.0094
229,10_4lzs_3u5j,1_0009,3.246,-0.7152,0.0006
230,10_4lzs_3u5j,1_0010,3.1344,-0.3099,1.1669
231,10_4lzs_3u5j,1_0011,3.0972,-0.2726,1.1618
232,10_4lzs_3u5j,1_0012,3.0688,-0.3234,1.1707
233,10_4lzs_3u5j,1_0013,2.9943,-0.7591,0.0006
234,10_4lzs_3u5j,1_0014,2.9929,-1.7288,0.0125
235,10_4lzs_3u5j,1_0015,2.8436,-0.6233,1.1646
236,10_4lzs_3u5j,1_0016,2.6099,-0.8152,0.0
237,10_4lzs_3u5j,1_0017,2.5952,-0.581,0.0
238,10_4lzs_3u5j,1_0018,2.5835,-0.8462,0.9557
239,10_4lzs_3u5j,1_0019,2.5661,-0.7814,0.9424
240,10_4lzs_4lzs,1_0000,5.2864,-0.1643,2.5293
241,10_4lzs_4lzs,1_0001,5.0577,-0.4379,2.2456
242,10_4lzs_4lzs,1_0002,4.8629,-0.6173,2.5079
243,10_4lzs_4lzs,1_0003,4.8447,-0.9505,2.4547
244,10_4lzs_4lzs,1_0004,4.6414,-0.8857,1.2313
245,10_4lzs_4lzs,1_0005,4.586,-0.8974,2.1491
246,10_4lzs_4lzs,1_0006,4.581,-0.4729,2.3975
247,10_4lzs_4lzs,1_0007,4.5774,-0.6249,2.6242
248,10_4lzs_4lzs,1_0008,4.5217,-0.5472,1.1838
249,10_4lzs_4lzs,1_0009,4.4582,-0.6164,1.6688
250,10_4lzs_4lzs,1_0010,4.2879,-1.9925,1.7834
251,10_4lzs_4lzs,1_0011,4.2659,-0.8523,1.223
252,10_4lzs_4lzs,1_0012,4.2372,-0.7719,2.2379
253,10_4lzs_4lzs,1_0013,4.2252,-1.2628,1.9927
254,10_4lzs_4lzs,1_0014,4.2017,-0.849,1.2283
255,10_4lzs_4lzs,1_0015,4.1724,-0.4604,1.5494
256,10_4lzs_4lzs,1_0016,4.1622,-0.6603,1.5912
257,10_4lzs_4lzs,1_0017,4.0304,-2.7976,2.4431
258,10_4lzs_4lzs,1_0018,3.7939,-0.8072,0.0
259,10_4lzs_4lzs,1_0019,3.7171,-1.0949,0.1003
260,10_4lzs_4ogj,1_0000,8.2459,-1.1915,4.2022
261,10_4lzs_4ogj,1_0001,7.7103,-2.1076,4.5466
262,10_4lzs_4ogj,1_0002,7.5328,-2.1859,3.0822
263,10_4lzs_4ogj,1_0003,7.0525,-2.1396,4.3414
264,10_4lzs_4ogj,1_0004,6.8841,-2.0647,3.1102
265,10_4lzs_4ogj,1_0005,6.8665,-1.9648,2.4114
266,10_4lzs_4ogj,1_0006,6.6165,-2.4556,1.808
267,10_4lzs_4ogj,1_0007,6.3204,-1.157,2.4221
268,10_4lzs_4ogj,1_0008,6.2033,-1.8996,2.9717
269,10_4lzs_4ogj,1_0009,6.0907,-1.8047,3.0149
270,10_4lzs_4ogj,1_0010,5.9682,-2.6649,2.5162
271,10_4lzs_4ogj,1_0011,5.9111,-1.7243,3.0336
272,10_4lzs_4ogj,1_0012,5.7577,-1.683,2.9845
273,10_4lzs_4ogj,1_0013,5.73,-1.2892,2.9572
274,10_4lzs_4ogj,1_0014,5.7023,-1.7066,2.9938
275,10_4lzs_4ogj,1_0015,5.6831,-2.0063,4.3603
276,10_4lzs_4ogj,1_0016,5.6782,-1.8071,3.0245
277,10_4lzs_4ogj,1_0017,5.6578,-5.7414,0.3797
278,10_4lzs_4ogj,1_0018,5.6568,-2.2119,0.0001
279,10_4lzs_4ogj,1_0019,5.6286,-1.7364,2.5372
280,10_4lzs_4wiv,1_0000,6.4044,-2.4988,1.2135
281,10_4lzs_4wiv,1_0001,6.1831,-2.3024,0.0654
282,10_4lzs_4wiv,1_0002,6.0058,-2.6294,0.0317
283,10_4lzs_4wiv,1_0003,5.7279,-3.5499,0.9674
284,10_4lzs_4wiv,1_0004,5.5561,-2.286,0.5827
285,10_4lzs_4wiv,1_0005,5.5506,-2.4745,0.5046
286,10_4lzs_4wiv,1_0006,5.5342,-2.5505,1.0824
287,10_4lzs_4wiv,1_0007,5.3748,-2.9801,0.0286
288,10_4lzs_4wiv,1_0008,5.367,-3.2906,0.9214
289,10_4lzs_4wiv,1_0009,5.1208,-2.3199,0.4949
290,10_4lzs_4wiv,1_0010,5.1139,-2.6171,0.2159
291,10_4lzs_4wiv,1_0011,5.0773,-2.5068,0.5429
292,10_4lzs_4wiv,1_0012,5.072,-1.9231,0.2043
293,10_4lzs_4wiv,1_0013,5.0027,-3.5021,0.8951
294,10_4lzs_4wiv,1_0014,4.968,-2.1252,0.2964
295,10_4lzs_4wiv,1_0015,4.9531,-4.9348,0.9253
296,10_4lzs_4wiv,1_0016,4.93,-3.5466,0.0281
297,10_4lzs_4wiv,1_0017,4.8882,-2.5458,1.0861
298,10_4lzs_4wiv,1_0018,4.6341,-1.7027,1.1296
299,10_4lzs_4wiv,1_0019,4.6136,-2.7879,0.4006
300,10_4ogj_3p5o,1_0000,5.9414,-1.2618,2.0593
301,10_4ogj_3p5o,1_0001,5.738,-1.356,2.0685
302,10_4ogj_3p5o,1_0002,5.5444,-0.9843,0.0024
303,10_4ogj_3p5o,1_0003,5.3607,-1.4812,2.0281
304,10_4ogj_3p5o,1_0004,5.2712,-1.2384,1.7926
305,10_4ogj_3p5o,1_0005,5.1443,-1.2265,1.851
306,10_4ogj_3p5o,1_0006,5.1113,-1.2467,1.2762
307,10_4ogj_3p5o,1_0007,5.0397,-1.6698,1.8584
308,10_4ogj_3p5o,1_0008,4.9846,-1.3503,1.9464
309,10_4ogj_3p5o,1_0009,4.9533,-1.347,1.9594
310,10_4ogj_3p5o,1_0010,4.8971,-1.2292,1.1296
311,10_4ogj_3p5o,1_0011,4.8726,-1.3063,1.9864
312,10_4ogj_3p5o,1_0012,4.7302,-1.1147,0.9611
313,10_4ogj_3p5o,1_0013,4.6456,-1.3063,1.47
314,10_4ogj_3p5o,1_0014,4.6409,-1.5605,0.0129
315,10_4ogj_3p5o,1_0015,4.5964,-1.3079,1.0624
316,10_4ogj_3p5o,1_0016,4.5941,-1.1839,1.0346
317,10_4ogj_3p5o,1_0017,4.4682,-1.2454,1.0202
318,10_4ogj_3p5o,1_0018,4.4679,-1.0539,1.0767
319,10_4ogj_3p5o,1_0019,4.3961,-1.27,1.0042
320,10_4ogj_3u5j,1_0000,3.2345,-0.5986,0.0276
321,10_4ogj_3u5j,1_0001,3.1289,-0.6217,0.0219
322,10_4ogj_3u5j,1_0002,2.912,-0.5244,0.0262
323,10_4ogj_3u5j,1_0003,2.8335,-0.8037,0.5858
324,10_4ogj_3u5j,1_0004,2.7055,-0.9364,0.6288
325,10_4ogj_3u5j,1_0005,2.6397,-0.9438,0.644
326,10_4ogj_3u5j,1_0006,2.6166,-0.4491,0.0
327,10_4ogj_3u5j,1_0007,2.5437,-0.6274,0.0039
328,10_4ogj_3u5j,1_0008,2.5183,-0.6561,0.0002
329,10_4ogj_3u5j,1_0009,2.4526,-0.988,0.0
330,10_4ogj_3u5j,1_0010,2.4143,-1.4707,0.0008
331,10_4ogj_3u5j,1_0011,2.3938,-0.6718,0.0
332,10_4ogj_3u5j,1_0012,2.3489,-0.7519,0.0105
333,10_4ogj_3u5j,1_0013,2.2995,-1.5236,0.0004
334,10_4ogj_3u5j,1_0014,2.2104,-1.2104,0.0
335,10_4ogj_3u5j,1_0015,2.1407,-1.2739,0.0
336,10_4ogj_3u5j,1_0016,2.1202,-0.9803,0.0
337,10_4ogj_3u5j,1_0017,2.0833,-1.0134,0.0
338,10_4ogj_3u5j,1_0018,2.0561,-0.4168,0.7471
339,10_4ogj_3u5j,1_0019,2.0007,-0.5234,0.0375
340,10_4ogj_4lzs,1_0000,4.7397,-1.2404,1.9989
341,10_4ogj_4lzs,1_0001,4.6966,-0.7641,2.5573
342,10_4ogj_4lzs,1_0002,4.6844,-0.7597,2.6699
343,10_4ogj_4lzs,1_0003,4.5626,-1.3802,2.2812
344,10_4ogj_4lzs,1_0004,3.998,-2.0922,2.1767
345,10_4ogj_4lzs,1_0005,3.973,-0.6544,2.4649
346,10_4ogj_4lzs,1_0006,3.9554,-0.7503,2.5714
347,10_4ogj_4lzs,1_0007,3.9542,-0.9515,2.3474
348,10_4ogj_4lzs,1_0008,3.9089,-0.4954,1.7002
349,10_4ogj_4lzs,1_0009,3.8313,-0.5003,2.5039
350,10_4ogj_4lzs,1_0010,3.8074,-0.3611,2.5671
351,10_4ogj_4lzs,1_0011,3.7748,-1.7654,0.4269
352,10_4ogj_4lzs,1_0012,3.7655,-0.5564,2.7809
353,10_4ogj_4lzs,1_0013,3.7332,-0.4697,0.9795
354,10_4ogj_4lzs,1_0014,3.6955,-1.839,1.1102
355,10_4ogj_4lzs,1_0015,3.6801,-0.4338,0.8973
356,10_4ogj_4lzs,1_0016,3.6514,-0.517,2.5224
357,10_4ogj_4lzs,1_0017,3.6231,-2.0789,3.7588
358,10_4ogj_4lzs,1_0018,3.5726,-1.3607,1.5263
359,10_4ogj_4lzs,1_0019,3.5581,-1.618,0.6715
360,10_4ogj_4ogj,1_0000,8.6208,-0.9551,4.9156
361,10_4ogj_4ogj,1_0001,8.4349,-1.3574,5.0143
362,10_4ogj_4ogj,1_0002,8.3363,-0.9611,5.0512
363,10_4ogj_4ogj,1_0003,8.3033,-0.9413,5.019
364,10_4ogj_4ogj,1_0004,7.9531,-1.4847,4.9454
365,10_4ogj_4ogj,1_0005,7.7221,-1.3563,4.7456
366,10_4ogj_4ogj,1_0006,7.7139,-0.8383,4.7466
367,10_4ogj_4ogj,1_0007,7.6965,-1.0019,4.9546
368,10_4ogj_4ogj,1_0008,7.6926,-1.2947,4.9045
369,10_4ogj_4ogj,1_0009,7.6885,-1.2135,5.0131
370,10_4ogj_4ogj,1_0010,7.5875,-0.7763,4.8017
371,10_4ogj_4ogj,1_0011,7.5526,-0.796,4.9917
372,10_4ogj_4ogj,1_0012,7.467,-1.0819,4.7792
373,10_4ogj_4ogj,1_0013,7.4152,-1.0733,4.6761
374,10_4ogj_4ogj,1_0014,7.362,-1.2733,5.0757
375,10_4ogj_4ogj,1_0015,7.2396,-1.3151,5.0241
376,10_4ogj_4ogj,1_0016,7.2141,-1.1524,4.8568
377,10_4ogj_4ogj,1_0017,7.1824,-1.0523,4.9981
378,10_4ogj_4ogj,1_0018,7.1752,-1.4049,3.3449
379,10_4ogj_4ogj,1_0019,7.1623,-1.1718,4.9293
380,10_4ogj_4wiv,1_0000,5.9001,-1.2665,0.0
381,10_4ogj_4wiv,1_0001,5.7833,-1.0321,0.5821
382,10_4ogj_4wiv,1_0002,5.7072,-0.9427,0.0
383,10_4ogj_4wiv,1_0003,5.6742,-0.9212,0.0
384,10_4ogj_4wiv,1_0004,5.6352,-1.2116,0.0
385,10_4ogj_4wiv,1_0005,5.58,-0.5375,0.6541
386,10_4ogj_4wiv,1_0006,5.5066,-1.0281,0.0
387,10_4ogj_4wiv,1_0007,5.4618,-1.0499,0.0
388,10_4ogj_4wiv,1_0008,5.3595,-1.9557,0.0
389,10_4ogj_4wiv,1_0009,5.2536,-1.6257,0.6371
390,10_4ogj_4wiv,1_0010,5.2232,-1.6528,0.7926
391,10_4ogj_4wiv,1_0011,5.1734,-1.2504,0.8138
392,10_4ogj_4wiv,1_0012,5.1151,-1.4075,0.8158
393,10_4ogj_4wiv,1_0013,5.1075,-2.0109,0.4694
394,10_4ogj_4wiv,1_0014,4.9762,-2.657,0.0
395,10_4ogj_4wiv,1_0015,4.972,-2.0132,0.4344
396,10_4ogj_4wiv,1_0016,4.902,-0.7521,0.0
397,10_4ogj_4wiv,1_0017,4.8968,-1.7443,0.3237
398,10_4ogj_4wiv,1_0018,4.8926,-1.736,0.6255
399,10_4ogj_4wiv,1_0019,4.8791,-1.9527,0.0
400,10_4wiv_3p5o,1_0000,6.5447,-2.3994,1.6181
401,10_4wiv_3p5o,1_0001,6.526,-2.277,1.6587
