,pdb_id,lig_id,average_score,HPSCORE,HMSCORE,HSSCORE,VDW,HB,HP,HM,HS,RT
101,10_3u5j_3p5o,1_0001,6.63,6.4,7.25,6.24,544.4,1.9,103.0,4.41,238.2,4.0
102,10_3u5j_3p5o,1_0002,6.71,6.52,7.27,6.33,554.0,1.7,113.5,4.41,257.0,4.0
103,10_3u5j_3p5o,1_0003,6.42,6.25,7.01,6.0,528.7,0.1,104.0,4.41,226.4,4.0
104,10_3u5j_3p5o,1_0004,6.54,6.37,7.13,6.11,552.3,0.4,105.3,4.41,225.3,4.0
105,10_3u5j_3p5o,1_0005,6.68,6.5,7.31,6.23,559.3,1.8,107.2,4.41,223.1,4.0
106,10_3u5j_3p5o,1_0006,6.6,6.37,7.23,6.19,539.5,1.9,101.1,4.41,233.1,4.0
107,10_3u5j_3p5o,1_0007,6.6,6.41,7.16,6.24,569.1,0.0,103.7,4.41,248.3,4.0
108,10_3u5j_3p5o,1_0008,6.67,6.45,7.23,6.33,585.0,0.0,101.2,4.41,256.1,4.0
109,10_3u5j_3p5o,1_0009,6.64,6.45,7.23,6.24,568.7,0.7,104.2,4.41,235.8,4.0
110,10_3u5j_3p5o,1_0010,6.66,6.43,7.25,6.32,545.6,1.8,105.5,4.41,259.1,4.0
111,10_3u5j_3p5o,1_0011,6.61,6.45,7.19,6.17,553.2,0.9,110.2,4.41,231.6,4.0
112,10_3u5j_3p5o,1_0012,6.59,6.32,7.18,6.26,531.9,1.7,100.0,4.41,259.6,4.0
113,10_3u5j_3p5o,1_0013,6.63,6.46,7.17,6.27,546.8,0.9,114.4,4.41,260.7,4.0
114,10_3u5j_3p5o,1_0014,6.86,6.63,7.4,6.55,628.5,0.0,102.2,4.41,268.0,4.0
115,10_3u5j_3p5o,1_0015,6.52,6.27,7.17,6.12,527.1,1.8,96.8,4.41,228.1,4.0
116,10_3u5j_3p5o,1_0016,6.66,6.44,7.22,6.31,563.6,0.8,105.6,4.41,258.3,4.0
117,10_3u5j_3p5o,1_0017,6.52,6.27,7.09,6.19,533.3,0.7,100.1,4.41,260.2,4.0
118,10_3u5j_3p5o,1_0018,6.69,6.48,7.25,6.34,592.0,0.0,101.6,4.41,250.1,4.0
119,10_3u5j_3p5o,1_0019,6.44,6.28,7.03,6.0,536.4,0.0,104.5,4.41,222.2,4.0
120,10_3u5j_3u5j,1_0000,6.47,6.26,7.06,6.08,440.6,1.0,111.4,4.22,228.7,0.0
121,10_3u5j_3u5j,1_0001,6.21,5.91,6.86,5.88,414.8,0.0,89.8,4.22,222.9,0.0
122,10_3u5j_3u5j,1_0002,6.21,5.9,6.86,5.88,414.4,0.0,89.4,4.22,223.5,0.0
123,10_3u5j_3u5j,1_0003,6.11,5.79,6.78,5.76,394.9,0.0,85.8,4.22,211.9,0.0
124,10_3u5j_3u5j,1_0004,6.26,5.96,6.92,5.92,429.5,0.0,88.5,4.22,218.1,0.0
125,10_3u5j_3u5j,1_0005,6.19,5.89,6.84,5.84,408.3,0.0,90.9,4.22,217.8,0.0
126,10_3u5j_3u5j,1_0006,6.19,5.9,6.84,5.83,408.9,0.0,90.8,4.22,216.8,0.0
127,10_3u5j_3u5j,1_0007,6.26,5.96,6.91,5.92,424.9,0.1,90.2,4.22,221.7,0.0
128,10_3u5j_3u5j,1_0008,6.27,5.95,6.92,5.93,429.5,0.0,88.2,4.22,220.3,0.0
129,10_3u5j_3u5j,1_0009,6.34,6.03,6.99,6.01,447.0,0.0,89.0,4.22,223.4,0.0
130,10_3u5j_3u5j,1_0010,6.23,5.94,6.88,5.88,420.1,0.0,90.4,4.22,218.4,0.0
131,10_3u5j_3u5j,1_0011,6.32,6.01,6.96,5.98,439.8,0.0,90.3,4.22,224.0,0.0
132,10_3u5j_3u5j,1_0012,6.31,6.02,6.94,5.98,435.0,0.0,93.7,4.22,227.7,0.0
133,10_3u5j_3u5j,1_0013,6.32,6.03,6.95,5.99,436.6,0.0,93.7,4.22,227.8,0.0
134,10_3u5j_3u5j,1_0014,6.09,5.75,6.78,5.76,387.0,0.3,82.4,4.22,214.9,0.0
135,10_3u5j_3u5j,1_0015,6.12,5.79,6.8,5.78,396.8,0.1,83.9,4.22,212.5,0.0
136,10_3u5j_3u5j,1_0016,6.3,6.12,6.75,6.02,453.7,0.0,95.5,3.54,219.7,0.0
137,10_3u5j_3u5j,1_0017,6.19,6.08,6.44,6.06,409.0,0.0,111.3,3.21,274.4,0.0
138,10_3u5j_3u5j,1_0018,6.3,6.12,6.75,6.01,453.6,0.0,96.0,3.54,217.6,0.0
139,10_3u5j_3u5j,1_0019,6.17,6.01,6.74,5.78,385.0,0.0,114.0,4.22,226.8,0.0
140,10_3u5j_4lzs,1_0000,5.56,5.45,5.69,5.53,338.1,2.3,66.1,1.65,193.3,1.0
141,10_3u5j_4lzs,1_0001,5.52,5.41,5.65,5.5,334.6,2.0,64.8,1.65,194.5,1.0
142,10_3u5j_4lzs,1_0002,5.43,5.35,5.56,5.38,317.0,1.8,67.1,1.65,184.9,1.0
143,10_3u5j_4lzs,1_0003,5.56,5.48,5.62,5.57,343.9,1.3,72.5,1.65,214.7,1.0
144,10_3u5j_4lzs,1_0004,5.5,5.41,5.64,5.46,333.9,1.9,65.1,1.65,186.4,1.0
145,10_3u5j_4lzs,1_0005,5.58,5.51,5.63,5.61,355.1,1.0,72.6,1.65,218.9,1.0
146,10_3u5j_4lzs,1_0006,5.04,4.95,5.26,4.92,265.9,0.8,51.3,1.65,138.8,1.0
147,10_3u5j_4lzs,1_0007,5.12,5.01,5.3,5.03,273.1,1.0,53.9,1.65,158.0,1.0
148,10_3u5j_4lzs,1_0008,4.99,4.8,5.16,5.0,240.8,1.9,40.1,1.39,166.3,1.0
149,10_3u5j_4lzs,1_0009,5.5,5.44,5.63,5.44,328.9,2.0,70.5,1.65,186.3,1.0
150,10_3u5j_4lzs,1_0010,5.0,4.81,5.18,5.01,242.9,2.0,39.5,1.39,164.3,1.0
151,10_3u5j_4lzs,1_0011,5.63,5.51,5.69,5.7,363.2,2.3,62.1,1.39,210.2,1.0
152,10_3u5j_4lzs,1_0012,5.36,5.26,5.42,5.4,309.9,1.7,60.5,1.39,200.0,1.0
153,10_3u5j_4lzs,1_0013,5.4,5.33,5.52,5.35,329.4,0.9,65.3,1.65,180.9,1.0
154,10_3u5j_4lzs,1_0014,5.48,5.37,5.57,5.5,329.4,1.4,66.4,1.65,209.9,1.0
155,10_3u5j_4lzs,1_0015,4.96,4.76,5.18,4.94,244.5,0.9,39.3,1.65,165.5,1.0
156,10_3u5j_4lzs,1_0016,5.47,5.42,5.53,5.46,328.8,1.0,74.6,1.65,206.8,1.0
157,10_3u5j_4lzs,1_0017,5.04,4.9,5.16,5.05,247.5,1.6,48.7,1.39,176.3,1.0
158,10_3u5j_4lzs,1_0018,5.46,5.36,5.58,5.46,326.4,1.6,65.4,1.65,199.0,1.0
159,10_3u5j_4lzs,1_0019,4.91,4.75,5.15,4.82,237.6,1.9,34.6,1.39,123.4,1.0
160,10_3u5j_4ogj,1_0000,7.22,7.11,7.5,7.07,657.4,1.3,141.1,4.28,365.9,5.0
161,10_3u5j_4ogj,1_0001,7.25,7.13,7.54,7.07,660.6,1.6,140.4,4.28,358.8,5.0
162,10_3u5j_4ogj,1_0002,7.1,7.0,7.4,6.92,638.2,1.1,139.4,4.28,351.7,5.0
163,10_3u5j_4ogj,1_0003,7.26,7.08,7.68,7.02,638.9,1.1,148.2,5.0,376.4,5.0
164,10_3u5j_4ogj,1_0004,7.12,7.01,7.4,6.93,641.3,1.0,139.4,4.28,354.3,5.0
165,10_3u5j_4ogj,1_0005,7.21,7.09,7.48,7.07,650.1,1.4,142.1,4.28,371.9,5.0
166,10_3u5j_4ogj,1_0006,7.04,6.94,7.34,6.83,622.1,1.1,139.1,4.28,345.8,5.0
167,10_3u5j_4ogj,1_0007,7.22,7.07,7.57,7.01,644.7,1.2,143.2,4.64,368.2,5.0
168,10_3u5j_4ogj,1_0008,7.08,6.93,7.49,6.82,623.4,1.1,138.1,4.64,341.5,5.0
169,10_3u5j_4ogj,1_0009,7.21,7.11,7.45,7.08,649.4,1.1,146.3,4.28,380.0,5.0
170,10_3u5j_4ogj,1_0010,7.05,6.92,7.48,6.75,617.0,1.3,138.1,4.64,327.4,5.0
171,10_3u5j_4ogj,1_0011,7.05,6.96,7.37,6.82,627.8,1.2,138.0,4.28,336.1,5.0
172,10_3u5j_4ogj,1_0012,6.59,6.31,7.2,6.24,550.1,0.4,105.8,4.84,282.8,5.0
173,10_3u5j_4ogj,1_0013,6.72,6.4,7.34,6.41,546.6,1.9,108.5,4.84,301.1,5.0
174,10_3u5j_4ogj,1_0014,6.66,6.29,7.29,6.42,558.3,0.4,99.4,5.0,318.2,5.0
175,10_3u5j_4ogj,1_0015,6.96,6.7,7.66,6.53,588.1,2.1,122.0,5.2,285.9,5.0
176,10_3u5j_4ogj,1_0016,7.12,6.98,7.38,7.01,641.3,0.8,137.2,4.28,376.3,5.0
177,10_3u5j_4ogj,1_0017,7.2,7.12,7.47,7.02,650.2,1.3,146.4,4.28,363.0,5.0
178,10_3u5j_4ogj,1_0018,6.87,6.59,7.6,6.43,573.2,2.1,116.1,5.2,275.0,5.0
179,10_3u5j_4ogj,1_0019,6.98,6.67,7.76,6.5,578.3,2.1,122.8,5.56,289.7,5.0
180,10_3u5j_4wiv,1_0000,6.53,6.3,6.85,6.44,480.6,0.0,104.3,3.52,298.6,0.0
181,10_3u5j_4wiv,1_0001,6.3,6.06,6.74,6.1,399.6,0.0,113.3,4.07,292.8,0.0
182,10_3u5j_4wiv,1_0002,6.34,6.01,6.91,6.11,417.5,1.0,94.1,4.07,258.9,0.0
183,10_3u5j_4wiv,1_0003,6.2,5.89,6.74,5.97,378.3,0.8,98.9,4.07,267.9,0.0
184,10_3u5j_4wiv,1_0004,6.94,6.75,7.46,6.62,555.6,1.0,114.4,4.07,250.3,0.0
185,10_3u5j_4wiv,1_0005,6.39,6.13,6.83,6.22,474.3,0.0,88.0,3.52,248.6,0.0
186,10_3u5j_4wiv,1_0006,6.8,6.66,7.35,6.39,528.4,0.9,117.1,4.07,220.5,0.0
187,10_3u5j_4wiv,1_0007,6.87,6.71,7.42,6.46,550.1,0.8,114.3,4.07,217.8,0.0
188,10_3u5j_4wiv,1_0008,6.11,5.73,6.66,5.94,405.7,0.0,74.4,3.8,246.3,0.0
189,10_3u5j_4wiv,1_0009,6.86,6.71,7.42,6.46,547.5,0.9,114.8,4.07,219.8,0.0
190,10_3u5j_4wiv,1_0010,6.62,6.47,7.2,6.2,489.9,1.0,112.9,4.07,208.8,0.0
191,10_3u5j_4wiv,1_0011,6.63,6.46,7.17,6.26,489.3,0.7,113.8,4.07,230.0,0.0
192,10_3u5j_4wiv,1_0012,6.18,5.87,6.72,5.96,377.9,0.7,98.2,4.07,267.7,0.0
193,10_3u5j_4wiv,1_0013,6.36,6.22,6.78,6.09,409.7,0.0,126.5,4.07,281.0,0.0
194,10_3u5j_4wiv,1_0014,6.36,6.1,6.81,6.18,468.5,0.0,86.9,3.54,244.8,0.0
195,10_3u5j_4wiv,1_0015,5.73,5.5,6.01,5.68,390.7,0.2,53.4,2.22,193.1,0.0
196,10_3u5j_4wiv,1_0016,6.25,5.93,6.87,5.95,407.8,1.0,89.5,4.07,230.5,0.0
197,10_3u5j_4wiv,1_0017,6.84,6.69,7.4,6.43,540.9,0.9,115.0,4.07,218.1,0.0
198,10_3u5j_4wiv,1_0018,6.78,6.64,7.35,6.34,526.9,1.0,115.6,4.07,207.9,0.0
199,10_3u5j_4wiv,1_0019,6.39,6.21,6.81,6.14,417.6,0.0,121.6,4.07,286.4,0.0
200,10_4lzs_3p5o,1_0000,7.07,6.96,7.36,6.89,684.3,0.0,113.5,3.74,296.7,4.0
201,10_4lzs_3p5o,1_0001,6.62,6.44,7.19,6.23,564.6,0.5,106.2,4.41,242.1,4.0
202,10_4lzs_3p5o,1_0002,6.51,6.37,7.12,6.03,549.5,0.3,105.9,4.41,210.7,4.0
203,10_4lzs_3p5o,1_0003,6.73,6.54,7.29,6.37,564.1,1.5,111.3,4.41,260.0,4.0
204,10_4lzs_3p5o,1_0004,6.79,6.65,7.2,6.52,592.0,0.7,116.3,4.07,283.1,4.0
205,10_4lzs_3p5o,1_0005,6.74,6.54,7.27,6.42,559.8,1.4,114.0,4.41,276.8,4.0
206,10_4lzs_3p5o,1_0006,6.67,6.5,7.28,6.23,562.4,1.5,108.8,4.41,225.6,4.0
207,10_4lzs_3p5o,1_0007,6.65,6.51,7.26,6.19,555.1,1.5,112.3,4.41,222.7,4.0
208,10_4lzs_3p5o,1_0008,6.49,6.33,7.07,6.08,520.9,1.0,110.8,4.41,239.6,4.0
209,10_4lzs_3p5o,1_0009,6.62,6.46,7.18,6.21,572.6,0.0,108.5,4.41,237.1,4.0
210,10_4lzs_3p5o,1_0010,6.62,6.45,7.2,6.2,567.6,0.5,106.8,4.41,232.3,4.0
211,10_4lzs_3p5o,1_0011,7.08,6.96,7.36,6.91,681.8,0.1,114.3,3.74,301.3,4.0
212,10_4lzs_3p5o,1_0012,6.66,6.49,7.17,6.33,558.0,0.5,115.0,4.41,272.1,4.0
213,10_4lzs_3p5o,1_0013,7.07,6.95,7.36,6.9,683.7,0.0,113.7,3.74,299.2,4.0
214,10_4lzs_3p5o,1_0014,6.61,6.44,7.18,6.22,563.6,0.4,106.8,4.41,241.6,4.0
215,10_4lzs_3p5o,1_0015,6.52,6.36,7.1,6.1,552.5,0.0,106.0,4.41,231.3,4.0
216,10_4lzs_3p5o,1_0016,6.75,6.61,7.14,6.52,577.9,0.7,118.0,4.07,296.1,4.0
217,10_4lzs_3p5o,1_0017,6.59,6.44,7.15,6.17,554.7,0.4,111.5,4.41,238.3,4.0
218,10_4lzs_3p5o,1_0018,6.93,6.77,7.34,6.7,645.1,0.0,109.8,4.07,287.9,4.0
219,10_4lzs_3p5o,1_0019,6.73,6.6,7.14,6.45,579.3,0.6,117.2,4.07,280.4,4.0
220,10_4lzs_3u5j,1_0000,6.27,5.98,6.9,5.93,424.4,0.0,93.1,4.22,226.4,0.0
221,10_4lzs_3u5j,1_0001,6.25,5.96,6.88,5.91,421.0,0.0,92.6,4.22,225.3,0.0
222,10_4lzs_3u5j,1_0002,6.23,6.06,6.67,5.96,400.7,0.0,113.3,3.88,256.3,0.0
223,10_4lzs_3u5j,1_0003,6.32,6.03,6.96,5.98,441.4,0.0,91.4,4.22,221.6,0.0
224,10_4lzs_3u5j,1_0004,6.29,6.14,6.65,6.06,460.4,0.0,95.6,3.21,223.2,0.0
225,10_4lzs_3u5j,1_0005,6.21,6.03,6.65,5.94,396.2,0.0,111.9,3.88,256.8,0.0
226,10_4lzs_3u5j,1_0006,6.31,6.01,6.95,5.97,438.1,0.0,90.8,4.22,222.4,0.0
227,10_4lzs_3u5j,1_0007,6.28,6.14,6.64,6.06,458.4,0.0,95.9,3.21,224.0,0.0
228,10_4lzs_3u5j,1_0008,6.45,6.23,6.97,6.16,473.5,0.1,99.1,3.88,232.5,0.0
229,10_4lzs_3u5j,1_0009,5.83,5.49,6.53,5.48,333.6,0.0,79.9,4.22,203.5,0.0
230,10_4lzs_3u5j,1_0010,5.7,5.36,6.4,5.34,301.7,1.0,72.8,3.95,182.4,0.0
231,10_4lzs_3u5j,1_0011,5.7,5.36,6.41,5.33,302.8,1.0,72.5,3.95,180.5,0.0
232,10_4lzs_3u5j,1_0012,5.71,5.37,6.41,5.35,302.5,1.0,73.5,3.95,183.6,0.0
233,10_4lzs_3u5j,1_0013,5.84,5.5,6.54,5.48,334.4,0.0,80.7,4.22,203.7,0.0
234,10_4lzs_3u5j,1_0014,6.44,6.26,6.86,6.18,479.5,0.1,99.4,3.54,232.8,0.0
