,pdb_id,lig_id,Vina_Score
129,10_3u5j_3u5j,1_0009,-6.7
130,10_3u5j_3u5j,1_0010,-6.6
131,10_3u5j_3u5j,1_0011,-6.4
132,10_3u5j_3u5j,1_0012,-6.4
133,10_3u5j_3u5j,1_0013,-6.4
134,10_3u5j_3u5j,1_0014,-6.3
135,10_3u5j_3u5j,1_0015,-6.2
136,10_3u5j_3u5j,1_0016,-6.2
137,10_3u5j_3u5j,1_0017,-6.0
138,10_3u5j_3u5j,1_0018,-5.8
139,10_3u5j_3u5j,1_0019,-5.7
140,10_3u5j_4lzs,1_0000,-5.9
141,10_3u5j_4lzs,1_0001,-5.8
142,10_3u5j_4lzs,1_0002,-5.7
143,10_3u5j_4lzs,1_0003,-5.6
144,10_3u5j_4lzs,1_0004,-5.6
145,10_3u5j_4lzs,1_0005,-5.2
146,10_3u5j_4lzs,1_0006,-5.2
147,10_3u5j_4lzs,1_0007,-5.1
148,10_3u5j_4lzs,1_0008,-5.0
149,10_3u5j_4lzs,1_0009,-5.0
150,10_3u5j_4lzs,1_0010,-5.0
151,10_3u5j_4lzs,1_0011,-5.0
152,10_3u5j_4lzs,1_0012,-4.8
153,10_3u5j_4lzs,1_0013,-4.7
154,10_3u5j_4lzs,1_0014,-4.7
155,10_3u5j_4lzs,1_0015,-4.6
156,10_3u5j_4lzs,1_0016,-4.6
157,10_3u5j_4lzs,1_0017,-4.5
158,10_3u5j_4lzs,1_0018,-4.5
159,10_3u5j_4lzs,1_0019,-4.5
160,10_3u5j_4ogj,1_0000,-7.9
161,10_3u5j_4ogj,1_0001,-7.8
162,10_3u5j_4ogj,1_0002,-7.4
163,10_3u5j_4ogj,1_0003,-7.4
164,10_3u5j_4ogj,1_0004,-7.3
165,10_3u5j_4ogj,1_0005,-7.3
166,10_3u5j_4ogj,1_0006,-7.1
167,10_3u5j_4ogj,1_0007,-7.1
168,10_3u5j_4ogj,1_0008,-7.1
169,10_3u5j_4ogj,1_0009,-7.1
170,10_3u5j_4ogj,1_0010,-7.0
171,10_3u5j_4ogj,1_0011,-7.0
172,10_3u5j_4ogj,1_0012,-6.9
173,10_3u5j_4ogj,1_0013,-6.8
174,10_3u5j_4ogj,1_0014,-6.8
175,10_3u5j_4ogj,1_0015,-6.8
176,10_3u5j_4ogj,1_0016,-6.8
177,10_3u5j_4ogj,1_0017,-6.8
178,10_3u5j_4ogj,1_0018,-6.7
179,10_3u5j_4ogj,1_0019,-6.7
180,10_3u5j_4wiv,1_0000,-7.9
181,10_3u5j_4wiv,1_0001,-7.8
182,10_3u5j_4wiv,1_0002,-7.6
183,10_3u5j_4wiv,1_0003,-7.5
184,10_3u5j_4wiv,1_0004,-7.4
185,10_3u5j_4wiv,1_0005,-7.3
186,10_3u5j_4wiv,1_0006,-7.3
187,10_3u5j_4wiv,1_0007,-7.0
188,10_3u5j_4wiv,1_0008,-7.0
189,10_3u5j_4wiv,1_0009,-6.9
190,10_3u5j_4wiv,1_0010,-6.8
191,10_3u5j_4wiv,1_0011,-6.8
192,10_3u5j_4wiv,1_0012,-6.7
193,10_3u5j_4wiv,1_0013,-6.7
194,10_3u5j_4wiv,1_0014,-6.7
195,10_3u5j_4wiv,1_0015,-6.6
196,10_3u5j_4wiv,1_0016,-6.5
197,10_3u5j_4wiv,1_0017,-6.3
198,10_3u5j_4wiv,1_0018,-6.3
199,10_3u5j_4wiv,1_0019,-6.2
200,10_4lzs_3p5o,1_0000,-8.8
201,10_4lzs_3p5o,1_0001,-8.3
202,10_4lzs_3p5o,1_0002,-7.7
203,10_4lzs_3p5o,1_0003,-7.0
204,10_4lzs_3p5o,1_0004,-6.8
205,10_4lzs_3p5o,1_0005,-6.4
206,10_4lzs_3p5o,1_0006,-6.4
207,10_4lzs_3p5o,1_0007,-6.2
208,10_4lzs_3p5o,1_0008,-6.1
209,10_4lzs_3p5o,1_0009,-6.0
210,10_4lzs_3p5o,1_0010,-5.9
211,10_4lzs_3p5o,1_0011,-5.7
212,10_4lzs_3p5o,1_0012,-5.6
213,10_4lzs_3p5o,1_0013,-5.6
214,10_4lzs_3p5o,1_0014,-5.5
215,10_4lzs_3p5o,1_0015,-5.4
216,10_4lzs_3p5o,1_0016,-5.2
217,10_4lzs_3p5o,1_0017,-5.2
218,10_4lzs_3p5o,1_0018,-5.1
219,10_4lzs_3p5o,1_0019,-5.1
220,10_4lzs_3u5j,1_0000,-9.5
221,10_4lzs_3u5j,1_0001,-7.9
222,10_4lzs_3u5j,1_0002,-7.5
223,10_4lzs_3u5j,1_0003,-7.4
224,10_4lzs_3u5j,1_0004,-7.4
225,10_4lzs_3u5j,1_0005,-7.4
226,10_4lzs_3u5j,1_0006,-7.1
227,10_4lzs_3u5j,1_0007,-7.0
228,10_4lzs_3u5j,1_0008,-6.9
229,10_4lzs_3u5j,1_0009,-6.4
230,10_4lzs_3u5j,1_0010,-6.4
231,10_4lzs_3u5j,1_0011,-6.2
232,10_4lzs_3u5j,1_0012,-6.1
233,10_4lzs_3u5j,1_0013,-6.1
234,10_4lzs_3u5j,1_0014,-6.1
235,10_4lzs_3u5j,1_0015,-6.0
236,10_4lzs_3u5j,1_0016,-5.8
237,10_4lzs_3u5j,1_0017,-5.8
238,10_4lzs_3u5j,1_0018,-5.8
239,10_4lzs_3u5j,1_0019,-5.7
240,10_4lzs_4lzs,1_0000,-6.1
241,10_4lzs_4lzs,1_0001,-6.1
242,10_4lzs_4lzs,1_0002,-5.6
243,10_4lzs_4lzs,1_0003,-5.5
244,10_4lzs_4lzs,1_0004,-5.4
245,10_4lzs_4lzs,1_0005,-5.1
246,10_4lzs_4lzs,1_0006,-4.9
247,10_4lzs_4lzs,1_0007,-4.8
248,10_4lzs_4lzs,1_0008,-4.8
249,10_4lzs_4lzs,1_0009,-4.7
250,10_4lzs_4lzs,1_0010,-4.6
251,10_4lzs_4lzs,1_0011,-4.6
252,10_4lzs_4lzs,1_0012,-4.5
253,10_4lzs_4lzs,1_0013,-4.5
254,10_4lzs_4lzs,1_0014,-4.2
255,10_4lzs_4lzs,1_0015,-4.2
256,10_4lzs_4lzs,1_0016,-4.2
257,10_4lzs_4lzs,1_0017,-4.1
258,10_4lzs_4lzs,1_0018,-4.1
259,10_4lzs_4lzs,1_0019,-4.1
260,10_4lzs_4ogj,1_0000,-8.0
261,10_4lzs_4ogj,1_0001,-7.8
262,10_4lzs_4ogj,1_0002,-7.8
263,10_4lzs_4ogj,1_0003,-7.6
264,10_4lzs_4ogj,1_0004,-7.6
265,10_4lzs_4ogj,1_0005,-7.4
266,10_4lzs_4ogj,1_0006,-7.4
267,10_4lzs_4ogj,1_0007,-7.3
268,10_4lzs_4ogj,1_0008,-7.3
269,10_4lzs_4ogj,1_0009,-7.3
270,10_4lzs_4ogj,1_0010,-7.3
271,10_4lzs_4ogj,1_0011,-7.3
272,10_4lzs_4ogj,1_0012,-7.3
273,10_4lzs_4ogj,1_0013,-7.3
274,10_4lzs_4ogj,1_0014,-7.1
275,10_4lzs_4ogj,1_0015,-7.1
276,10_4lzs_4ogj,1_0016,-7.0
277,10_4lzs_4ogj,1_0017,-6.9
278,10_4lzs_4ogj,1_0018,-6.8
279,10_4lzs_4ogj,1_0019,-6.8
280,10_4lzs_4wiv,1_0000,-8.2
281,10_4lzs_4wiv,1_0001,-7.7
282,10_4lzs_4wiv,1_0002,-7.7
283,10_4lzs_4wiv,1_0003,-7.5
284,10_4lzs_4wiv,1_0004,-7.4
285,10_4lzs_4wiv,1_0005,-7.4
286,10_4lzs_4wiv,1_0006,-7.3
287,10_4lzs_4wiv,1_0007,-7.3
288,10_4lzs_4wiv,1_0008,-7.2
289,10_4lzs_4wiv,1_0009,-6.9
290,10_4lzs_4wiv,1_0010,-6.9
291,10_4lzs_4wiv,1_0011,-6.9
292,10_4lzs_4wiv,1_0012,-6.7
293,10_4lzs_4wiv,1_0013,-6.6
294,10_4lzs_4wiv,1_0014,-6.5
295,10_4lzs_4wiv,1_0015,-6.4
296,10_4lzs_4wiv,1_0016,-6.4
297,10_4lzs_4wiv,1_0017,-6.3
298,10_4lzs_4wiv,1_0018,-6.0
299,10_4lzs_4wiv,1_0019,-6.0
300,10_4ogj_3p5o,1_0000,-8.0
301,10_4ogj_3p5o,1_0001,-7.7
302,10_4ogj_3p5o,1_0002,-7.7
303,10_4ogj_3p5o,1_0003,-7.7
304,10_4ogj_3p5o,1_0004,-7.1
305,10_4ogj_3p5o,1_0005,-6.8
306,10_4ogj_3p5o,1_0006,-6.7
307,10_4ogj_3p5o,1_0007,-6.6
308,10_4ogj_3p5o,1_0008,-6.6
309,10_4ogj_3p5o,1_0009,-6.3
310,10_4ogj_3p5o,1_0010,-6.2
311,10_4ogj_3p5o,1_0011,-6.1
312,10_4ogj_3p5o,1_0012,-5.9
313,10_4ogj_3p5o,1_0013,-5.8
314,10_4ogj_3p5o,1_0014,-5.8
315,10_4ogj_3p5o,1_0015,-5.6
316,10_4ogj_3p5o,1_0016,-5.6
317,10_4ogj_3p5o,1_0017,-5.3
318,10_4ogj_3p5o,1_0018,-5.2
319,10_4ogj_3p5o,1_0019,-5.1
320,10_4ogj_3u5j,1_0000,-8.6
321,10_4ogj_3u5j,1_0001,-8.4
322,10_4ogj_3u5j,1_0002,-7.4
323,10_4ogj_3u5j,1_0003,-7.2
324,10_4ogj_3u5j,1_0004,-7.1
325,10_4ogj_3u5j,1_0005,-7.1
326,10_4ogj_3u5j,1_0006,-7.0
327,10_4ogj_3u5j,1_0007,-6.9
328,10_4ogj_3u5j,1_0008,-6.9
329,10_4ogj_3u5j,1_0009,-6.9
330,10_4ogj_3u5j,1_0010,-6.7
331,10_4ogj_3u5j,1_0011,-6.6
332,10_4ogj_3u5j,1_0012,-6.6
333,10_4ogj_3u5j,1_0013,-6.5
334,10_4ogj_3u5j,1_0014,-6.4
335,10_4ogj_3u5j,1_0015,-6.3
336,10_4ogj_3u5j,1_0016,-6.2
337,10_4ogj_3u5j,1_0017,-6.0
338,10_4ogj_3u5j,1_0018,-6.0
339,10_4ogj_3u5j,1_0019,-5.8
340,10_4ogj_4lzs,1_0000,-6.0
341,10_4ogj_4lzs,1_0001,-5.9
342,10_4ogj_4lzs,1_0002,-5.8
343,10_4ogj_4lzs,1_0003,-5.7
344,10_4ogj_4lzs,1_0004,-5.7
345,10_4ogj_4lzs,1_0005,-5.5
346,10_4ogj_4lzs,1_0006,-5.4
347,10_4ogj_4lzs,1_0007,-5.3
348,10_4ogj_4lzs,1_0008,-5.1
349,10_4ogj_4lzs,1_0009,-5.0
350,10_4ogj_4lzs,1_0010,-5.0
351,10_4ogj_4lzs,1_0011,-4.8
352,10_4ogj_4lzs,1_0012,-4.8
353,10_4ogj_4lzs,1_0013,-4.7
354,10_4ogj_4lzs,1_0014,-4.7
355,10_4ogj_4lzs,1_0015,-4.6
356,10_4ogj_4lzs,1_0016,-4.6
357,10_4ogj_4lzs,1_0017,-4.5
358,10_4ogj_4lzs,1_0018,-4.4
359,10_4ogj_4lzs,1_0019,-4.4
360,10_4ogj_4ogj,1_0000,-8.0
361,10_4ogj_4ogj,1_0001,-7.6
362,10_4ogj_4ogj,1_0002,-7.6
363,10_4ogj_4ogj,1_0003,-7.6
364,10_4ogj_4ogj,1_0004,-7.5
365,10_4ogj_4ogj,1_0005,-7.4
366,10_4ogj_4ogj,1_0006,-7.4
367,10_4ogj_4ogj,1_0007,-7.4
368,10_4ogj_4ogj,1_0008,-7.4
369,10_4ogj_4ogj,1_0009,-7.4
370,10_4ogj_4ogj,1_0010,-7.3
371,10_4ogj_4ogj,1_0011,-7.2
372,10_4ogj_4ogj,1_0012,-7.1
373,10_4ogj_4ogj,1_0013,-7.1
374,10_4ogj_4ogj,1_0014,-7.0
375,10_4ogj_4ogj,1_0015,-6.9
376,10_4ogj_4ogj,1_0016,-6.9
377,10_4ogj_4ogj,1_0017,-6.9
378,10_4ogj_4ogj,1_0018,-6.8
379,10_4ogj_4ogj,1_0019,-6.7
380,10_4ogj_4wiv,1_0000,-8.3
381,10_4ogj_4wiv,1_0001,-8.2
382,10_4ogj_4wiv,1_0002,-8.1
383,10_4ogj_4wiv,1_0003,-8.1
384,10_4ogj_4wiv,1_0004,-7.8
385,10_4ogj_4wiv,1_0005,-7.3
386,10_4ogj_4wiv,1_0006,-7.2
387,10_4ogj_4wiv,1_0007,-7.2
388,10_4ogj_4wiv,1_0008,-7.2
389,10_4ogj_4wiv,1_0009,-7.0
390,10_4ogj_4wiv,1_0010,-6.9
391,10_4ogj_4wiv,1_0011,-6.8
392,10_4ogj_4wiv,1_0012,-6.6
393,10_4ogj_4wiv,1_0013,-6.6
394,10_4ogj_4wiv,1_0014,-6.6
395,10_4ogj_4wiv,1_0015,-6.4
396,10_4ogj_4wiv,1_0016,-6.3
397,10_4ogj_4wiv,1_0017,-6.3
398,10_4ogj_4wiv,1_0018,-6.3
399,10_4ogj_4wiv,1_0019,-6.2
400,10_4wiv_3p5o,1_0000,-9.2
401,10_4wiv_3p5o,1_0001,-8.5
402,10_4wiv_3p5o,1_0002,-8.2
403,10_4wiv_3p5o,1_0003,-8.2
404,10_4wiv_3p5o,1_0004,-7.3
405,10_4wiv_3p5o,1_0005,-7.2
406,10_4wiv_3p5o,1_0006,-6.8
407,10_4wiv_3p5o,1_0007,-6.7
408,10_4wiv_3p5o,1_0008,-6.7
409,10_4wiv_3p5o,1_0009,-6.6
410,10_4wiv_3p5o,1_0010,-6.6
411,10_4wiv_3p5o,1_0011,-6.6
412,10_4wiv_3p5o,1_0012,-6.4
413,10_4wiv_3p5o,1_0013,-6.3
414,10_4wiv_3p5o,1_0014,-6.2
415,10_4wiv_3p5o,1_0015,-6.1
416,10_4wiv_3p5o,1_0016,-6.1
417,10_4wiv_3p5o,1_0017,-6.1
418,10_4wiv_3p5o,1_0018,-6.0
419,10_4wiv_3p5o,1_0019,-6.0
420,10_4wiv_3u5j,1_0000,-9.2
421,10_4wiv_3u5j,1_0001,-8.7
422,10_4wiv_3u5j,1_0002,-8.7
423,10_4wiv_3u5j,1_0003,-8.3
424,10_4wiv_3u5j,1_0004,-8.0
425,10_4wiv_3u5j,1_0005,-7.6
426,10_4wiv_3u5j,1_0006,-7.4
427,10_4wiv_3u5j,1_0007,-7.4
428,10_4wiv_3u5j,1_0008,-6.9
429,10_4wiv_3u5j,1_0009,-6.9
430,10_4wiv_3u5j,1_0010,-6.9
431,10_4wiv_3u5j,1_0011,-6.8
432,10_4wiv_3u5j,1_0012,-6.7
433,10_4wiv_3u5j,1_0013,-6.5
434,10_4wiv_3u5j,1_0014,-6.4
435,10_4wiv_3u5j,1_0015,-6.3
436,10_4wiv_3u5j,1_0016,-6.1
437,10_4wiv_3u5j,1_0017,-6.1
438,10_4wiv_3u5j,1_0018,-5.9
439,10_4wiv_3u5j,1_0019,-5.9
440,10_4wiv_4lzs,1_0000,-5.7
441,10_4wiv_4lzs,1_0001,-5.6
442,10_4wiv_4lzs,1_0002,-5.6
443,10_4wiv_4lzs,1_0003,-5.6
444,10_4wiv_4lzs,1_0004,-5.3
445,10_4wiv_4lzs,1_0005,-5.2
446,10_4wiv_4lzs,1_0006,-5.0
447,10_4wiv_4lzs,1_0007,-4.9
448,10_4wiv_4lzs,1_0008,-4.8
449,10_4wiv_4lzs,1_0009,-4.7
450,10_4wiv_4lzs,1_0010,-4.7
451,10_4wiv_4lzs,1_0011,-4.6
452,10_4wiv_4lzs,1_0012,-4.4
453,10_4wiv_4lzs,1_0013,-4.3
454,10_4wiv_4lzs,1_0014,-4.3
455,10_4wiv_4lzs,1_0015,-4.2
456,10_4wiv_4lzs,1_0016,-4.2
457,10_4wiv_4lzs,1_0017,-4.2
458,10_4wiv_4lzs,1_0018,-4.1
459,10_4wiv_4lzs,1_0019,-4.1
460,10_4wiv_4ogj,1_0000,-8.0
461,10_4wiv_4ogj,1_0001,-7.6
462,10_4wiv_4ogj,1_0002,-7.5
463,10_4wiv_4ogj,1_0003,-7.4
464,10_4wiv_4ogj,1_0004,-7.4
465,10_4wiv_4ogj,1_0005,-7.2
466,10_4wiv_4ogj,1_0006,-7.1
467,10_4wiv_4ogj,1_0007,-7.1
468,10_4wiv_4ogj,1_0008,-7.0
469,10_4wiv_4ogj,1_0009,-7.0
470,10_4wiv_4ogj,1_0010,-7.0
471,10_4wiv_4ogj,1_0011,-6.9
472,10_4wiv_4ogj,1_0012,-6.9
473,10_4wiv_4ogj,1_0013,-6.8
474,10_4wiv_4ogj,1_0014,-6.8
475,10_4wiv_4ogj,1_0015,-6.8
476,10_4wiv_4ogj,1_0016,-6.7
477,10_4wiv_4ogj,1_0017,-6.7
478,10_4wiv_4ogj,1_0018,-6.7
479,10_4wiv_4ogj,1_0019,-6.7
480,10_4wiv_4wiv,1_0000,-8.5
481,10_4wiv_4wiv,1_0001,-7.7
482,10_4wiv_4wiv,1_0002,-7.5
483,10_4wiv_4wiv,1_0003,-7.4
484,10_4wiv_4wiv,1_0004,-7.3
485,10_4wiv_4wiv,1_0005,-7.2
486,10_4wiv_4wiv,1_0006,-7.1
487,10_4wiv_4wiv,1_0007,-7.0
488,10_4wiv_4wiv,1_0008,-7.0
489,10_4wiv_4wiv,1_0009,-7.0
490,10_4wiv_4wiv,1_0010,-6.9
491,10_4wiv_4wiv,1_0011,-6.9
492,10_4wiv_4wiv,1_0012,-6.9
493,10_4wiv_4wiv,1_0013,-6.9
494,10_4wiv_4wiv,1_0014,-6.8
495,10_4wiv_4wiv,1_0015,-6.8
496,10_4wiv_4wiv,1_0016,-6.8
497,10_4wiv_4wiv,1_0017,-6.8
498,10_4wiv_4wiv,1_0018,-6.7
499,10_4wiv_4wiv,1_0019,-6.4
500,11_1ps3_1ps3,1_0000,-8.0
501,11_1ps3_1ps3,1_0001,-6.4
502,11_1ps3_1ps3,1_0002,-6.3
503,11_1ps3_1ps3,1_0003,-6.3
504,11_1ps3_1ps3,1_0004,-6.2
505,11_1ps3_1ps3,1_0005,-5.9
506,11_1ps3_1ps3,1_0006,-5.8
507,11_1ps3_1ps3,1_0007,-5.7
508,11_1ps3_1ps3,1_0008,-5.7
509,11_1ps3_1ps3,1_0009,-5.7
510,11_1ps3_1ps3,1_0010,-5.6
511,11_1ps3_1ps3,1_0011,-5.5
512,11_1ps3_1ps3,1_0012,-5.5
513,11_1ps3_1ps3,1_0013,-5.5
514,11_1ps3_1ps3,1_0014,-5.5
515,11_1ps3_1ps3,1_0015,-5.4
516,11_1ps3_1ps3,1_0016,-5.4
517,11_1ps3_1ps3,1_0017,-5.4
518,11_1ps3_1ps3,1_0018,-5.3
519,11_1ps3_1ps3,1_0019,-5.3
520,11_1ps3_3d4z,1_0000,-7.1
521,11_1ps3_3d4z,1_0001,-6.3
522,11_1ps3_3d4z,1_0002,-5.8
523,11_1ps3_3d4z,1_0003,-5.5
524,11_1ps3_3d4z,1_0004,-5.4
525,11_1ps3_3d4z,1_0005,-5.4
526,11_1ps3_3d4z,1_0006,-5.3
527,11_1ps3_3d4z,1_0007,-5.3
528,11_1ps3_3d4z,1_0008,-5.2
529,11_1ps3_3d4z,1_0009,-5.1
530,11_1ps3_3d4z,1_0010,-5.1
531,11_1ps3_3d4z,1_0011,-5.1
532,11_1ps3_3d4z,1_0012,-4.9
533,11_1ps3_3d4z,1_0013,-4.9
534,11_1ps3_3d4z,1_0014,-4.7
535,11_1ps3_3d4z,1_0015,-4.7
536,11_1ps3_3d4z,1_0016,-4.6
537,11_1ps3_3d4z,1_0017,-4.6
538,11_1ps3_3d4z,1_0018,-4.5
539,11_1ps3_3d4z,1_0019,-4.5
540,11_1ps3_3dx1,1_0000,-6.5
541,11_1ps3_3dx1,1_0001,-5.7
542,11_1ps3_3dx1,1_0002,-5.4
543,11_1ps3_3dx1,1_0003,-5.3
544,11_1ps3_3dx1,1_0004,-4.7
545,11_1ps3_3dx1,1_0005,-4.4
546,11_1ps3_3dx1,1_0006,-4.2
547,11_1ps3_3dx1,1_0007,-4.2
548,11_1ps3_3dx1,1_0008,-4.2
549,11_1ps3_3dx1,1_0009,-4.1
550,11_1ps3_3dx1,1_0010,-4.1
551,11_1ps3_3dx1,1_0011,-4.0
552,11_1ps3_3dx1,1_0012,-4.0
553,11_1ps3_3dx1,1_0013,-3.9
554,11_1ps3_3dx1,1_0014,-3.8
555,11_1ps3_3dx1,1_0015,-3.8
556,11_1ps3_3dx1,1_0016,-3.7
557,11_1ps3_3dx1,1_0017,-3.7
558,11_1ps3_3dx1,1_0018,-3.7
559,11_1ps3_3dx2,1_0000,-6.3
560,11_1ps3_3dx2,1_0001,-5.3
561,11_1ps3_3dx2,1_0002,-5.0
562,11_1ps3_3dx2,1_0003,-4.5
563,11_1ps3_3dx2,1_0004,-4.5
564,11_1ps3_3dx2,1_0005,-4.5
565,11_1ps3_3dx2,1_0006,-4.5
566,11_1ps3_3dx2,1_0007,-4.5
567,11_1ps3_3dx2,1_0008,-4.3
568,11_1ps3_3dx2,1_0009,-4.3
569,11_1ps3_3dx2,1_0010,-4.3
570,11_1ps3_3dx2,1_0011,-4.3
571,11_1ps3_3dx2,1_0012,-4.3
572,11_1ps3_3dx2,1_0013,-4.2
573,11_1ps3_3dx2,1_0014,-4.2
574,11_1ps3_3dx2,1_0015,-4.1
575,11_1ps3_3dx2,1_0016,-4.1
576,11_1ps3_3dx2,1_0017,-4.1
577,11_1ps3_3dx2,1_0018,-4.1
578,11_1ps3_3dx2,1_0019,-4.1
579,11_1ps3_3ejr,1_0000,-6.8
580,11_1ps3_3ejr,1_0001,-6.8
